"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_FootLength.Eth","y[2]",1.0004547330231,11372.4620717701
"Female","m2_FootLength.Eth","y[3]",1.00035609021638,14738.0143194063
"Female","m2_FootLength.Eth","y[4]",1.00058589721121,11481.767196145
"Female","m2_FootLength.Eth","y[5]",0.999946582298067,13743.2154301203
"Female","m2_FootLength.Eth","b[1]",1.00100897795995,11626.184949703
"Female","m2_FootLength.Eth","b[2]",1.00066923120719,14075.2938459362
"Female","m2_FootLength.Eth","b[3]",1.00039924775768,11528.8346914949
"Female","m2_FootLength.Eth","b[4]",1.00016407626341,9842.96984432601
"Female","m2_FootLength.Eth","b[5]",1.00014999301708,10006.8603698378
"Female","m2_FootBreadth.Eth","x[1]",0.999972719793109,14332.1725526591
"Female","m2_FootBreadth.Eth","x[2]",1.00019745781862,17914.6596165388
"Female","m2_FootBreadth.Eth","x[3]",1.00016373277695,15974.2008313241
"Female","m2_FootBreadth.Eth","x[4]",1.00030351879853,15876.6935557013
"Female","m2_FootBreadth.Eth","x[5]",1.00038380614765,17048.4803237988
"Female","m2_FootBreadth.Eth","z[1]",1.00033339908714,7304.04001627354
"Female","m2_FootBreadth.Eth","z[2]",1.00031209550866,11195.6328594107
"Female","m2_FootBreadth.Eth","z[3]",0.999986689796356,13694.3313070473
"Female","m2_FootBreadth.Eth","z[4]",1.00082758868862,9369.22026403524
"Female","m2_FootBreadth.Eth","z[5]",1.00023061468555,15964.4244334511
"Female","m2_FootBreadth.Eth","a",1.00043556909822,7651.59808379278
"Female","m2_FootBreadth.Eth","sigma_b",1.00020322805957,7489.45067001199
"Female","m2_FootBreadth.Eth","sigma_y",1.00066569182931,6165.35168241773
"Female","m2_FootBreadth.Eth","sigma",1.00062443060308,15222.1412832875
"Female","m2_FootBreadth.Eth","y[1]",1.00017082957853,8208.68697662311
"Female","m2_FootBreadth.Eth","y[2]",1.00004040358729,8039.43404266504
"Female","m2_FootBreadth.Eth","y[3]",1.00004030691578,13488.9356336771
"Female","m2_FootBreadth.Eth","y[4]",1.00021158890877,9333.66956468274
"Female","m2_FootBreadth.Eth","y[5]",1.00014097903438,15734.0919740896
