"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AW-009","Walk","WalkF","Yes","Elite","We/f",18,"Female","White",779,NA,3,6,0,6,"NONE",50.7,161,87.75,154.5,34.9,41.05,24.65,41.35,35.2,24.2,21.7,15.9,6.19,6.57,16.1,7.4,20.8,8.1,73.25,59.65,18.3,32.2,6.38,-4.6067953693679
"AW-010","Walk","WalkF","Yes","Elite","We/f",20,"Female","White",846,NA,7,10,10,20,"Gym, Run",62.2,169,89,166.25,38.3,45.25,26.2,44,38.15,27.6,23.3,20.7,6.96,7.27,18.3,7.4,22.3,7.9,80,64.05,20.05,34.75,7.11,-0.947587958459332
"AW-011","Walk","WalkM","Yes","Elite","We/m",18,"Male","White",789,NA,8,8.5,3,11.5,"Run, Gaelic Football",64.2,181.5,93.5,179.5,41.55,49.6,29.15,48.35,39.7,28.25,24,7.6,7.47,7.83,18.7,8.2,24,9.2,88,69.9,21.55,38.4,7.65,2.36793258676266
"AW-012","Walk","WalkM","Yes","Elite","We/m",18,"Male","White",961,NA,4,5,1,6,"Gym",67.5,180.25,94.75,183.5,41.1,48.45,28.35,47.9,38.6,27.3,25.95,12.9,7.56,7.71,19.5,8.7,24.6,9.8,85.5,72.45,24.55,37.05,7.64,2.4606736611385
"AW-013","Walk","WalkM","Yes","Elite","We/m",20,"Male","White",1011,NA,5,5,1.5,6.5,"Football, Gaelic Football, Gym",65.8,177.5,92.75,180.25,38.75,46.35,27.75,46,39.45,28.25,25.25,9.6,7.13,7.65,18.4,8.7,24.8,9.2,84.75,70.4,24.4,38.4,7.39,1.41756318594609
"AW-014","Walk","WalkM","Yes","Elite","We/m",19,"Male","White",966,NA,6,5,2,7,"Gym",65.5,186.5,93.5,183.75,44,51,28.95,48.55,40.55,28.4,24.55,9.05,7.48,7.62,18.6,8.1,23.4,8.8,93,71.6,23.05,42,7.55,2.91817078373102
"AW-015","Walk","WalkM","Yes","Elite","We/m",27,"Male","White",965,NA,13,8,3.5,11.5,"Run, Gym",73.8,180.75,92,187.25,41.5,50.1,28.95,47.6,41.95,29.15,26.6,10.55,6.81,7.51,18.5,8.5,26.3,11.1,88.75,72.65,25.05,38.65,7.16,2.89134163744237
"AW-016","Walk","WalkF","Yes","Elite","We/f",21,"Female","Mixed",912,NA,8,7,2,9,"Gym",51.1,170,87,170.75,39.25,45.25,26.65,45.25,35.15,25.9,21.5,12.5,7.41,7.78,18.3,7.6,23.1,9.4,83,67.8,22.55,37.75,7.6,-0.718897961956175
"AW-017","Walk","WalkM","Yes","Elite","We/m",21,"Male","White",1009,NA,5,30,2,32,"Run",67.6,179.5,93.5,185.5,39.4,47,29.15,48.6,42.2,30,24.75,5.3,7.34,7.42,19.2,8.2,25.9,10.6,86,71.65,23.05,39,7.38,3.01534280498095
"AW-018","Walk","WalkF","Yes","Elite","We/f",18,"Female","White",864,NA,4,16,2,18,"Football, Camogie",61.4,173.75,93.75,173.5,39.55,46.35,26.4,45.65,38.2,26.6,23,14.4,7.61,7.53,17.4,7.7,24,9.4,80,67.65,22,33.65,7.57,0.307733505293096
"AW-019","Walk","WalkF","Yes","Elite","We/f",19,"Female","White",866,NA,6,10,2,12,"Gym, Run",51.5,161.5,86,159.25,35.4,42.4,24.25,41.8,37.05,26.4,21.9,12.15,6.51,6.72,16.4,6.8,22.4,8.5,75.5,61.1,19.3,33.1,6.62,-3.55756044388613
"AW-020","Walk","WalkF","Yes","Elite","We/f",18,"Female","White",718,NA,4,36,2,38,"Cycle",68,176.25,94,176.75,40.35,47.05,27.35,46.25,35.95,27.4,23.6,14.85,7.32,7.65,18.1,7.8,23.7,9.2,82.25,70.4,24.15,35.2,7.49,0.759988960696373
"AC-065","Climb","ClimbF","No","Non-elite","Cn/f",26,"Female","White",NA,19.5,4,7,4,11,"Swim, Run, Yoga",58,156.25,84.5,155.5,33.55,40.1,24.25,41.45,34.7,27.9,23.7,10.6,6.34,6.67,16,7.6,21.2,9.4,71.75,60.4,18.95,31.65,6.51,-4.78354098561395
"AC-066","Climb","ClimbM","Yes","Elite","Ce/m",33,"Male","White",NA,24,19,2.5,0,2.5,"Run",62.6,169,89.75,174.5,37,44.85,26.8,45,39.7,26.8,26.7,8.7,7,7.25,18,7.7,22.8,8.3,79.25,67.4,22.4,34.4,7.12,-0.56755670417765
"AC-067","Climb","ClimbF","No","Non-elite","Cn/f",27,"Female","White",NA,20,6,8,3,11,"Swim, Yoga",59.4,164,86.5,162.25,36.95,44,25.35,43.15,36.25,25.7,26.1,8.4,6.88,7,17.3,7.9,22.1,8.5,77.5,63,19.85,33.5,6.94,-2.65784972810717
"AC-068","Climb","ClimbF","No","Non-elite","Cn/f",24,"Female","Asian",NA,18,1,4,1,5,"Run",48.2,156.5,83.5,156,34.85,41.7,24.5,40.55,36.05,24.85,23.25,17.1,6.3,6.61,15.9,7,20.7,8.8,73,59.98,19.43,31.3,6.46,-4.9384811155354
"AC-069","Climb","ClimbF","No","Non-elite","Cn/f",29,"Female","Asian",NA,14,2,3,0,3,"NONE",70.6,175.25,92,178.75,39.5,46.4,28.3,46.75,40.5,27.55,25.8,19.5,6.87,7.29,17.9,8,22.2,8.8,83.25,69.13,22.38,36.85,7.08,0.609362546288728
"AC-070","Climb","ClimbF","No","Non-elite","Cn/f",30,"Female","White",NA,17,4,8,2,10,"Badminton, Run",62.2,170.5,90.5,173.5,39.05,46.75,26.85,45.9,38.25,27.85,23.6,15.35,7.08,7.37,17.7,7.6,23.6,8.3,80,67.63,21.73,33.25,7.23,-0.107006987202681
"AC-071","Climb","ClimbF","No","Non-elite","Cn/f",31,"Female","Mixed",NA,16.5,1,7,10,17,"Run, Swim",55.8,160.5,88,154.5,34.1,41.7,23.85,39.95,35.4,27.1,23,12.2,5.98,6.04,15.8,7,20.8,8.2,72.5,59.55,19.6,30.8,6.01,-4.85635464849071
"AX-060","Control","ControlF","Yes",NA,"X/f",26,"Female","Mixed",NA,NA,NA,NA,1,1,"Run",57.8,170,89.25,163.5,38.15,45.05,26.1,44.2,36.3,27.7,21.75,17.25,6.74,6.91,17.1,6.9,22.6,8.6,80.75,63.6,19.4,35.7,6.83,-1.68221004849097
"AC-072","Climb","ClimbF","No","Non-elite","Cn/f",22,"Female","White",NA,16.5,15,5,6,11,"Run",55.5,163.5,88.75,163.75,35.05,42.1,23.8,41,39.05,27.85,23.6,12.3,6.58,6.72,16.3,7.3,22.8,8.3,74.75,62.35,21.35,32.65,6.65,-2.81213447976663
"AC-073","Climb","ClimbF","No","Non-elite","Cn/f",25,"Female","White",NA,16.5,4,5,10,15,"Row, Surf, Ski, Gym",56.2,169,88.75,173,36.9,44.1,26.8,45.25,37.1,27.6,21.8,10.1,5.6,5.92,14.7,6.3,23,8.5,80.25,67.95,22.7,36.15,5.76,-2.67891303177963
"AC-074","Climb","ClimbF","No","Non-elite","Cn/f",37,"Female","Asian",NA,15,1.5,15,5,20,"Cycle, Gym",59.2,160.75,82.75,168.75,37,43.85,25.8,43.4,37.4,26.95,26.25,11.3,6.44,7.21,17.5,7.7,22,8.5,78,65.68,22.28,34.15,6.83,-2.508665817047
"AC-075","Climb","ClimbF","No","Non-elite","Cn/f",24,"Female","Asian",NA,17,2.5,10,2,12,"Run, Badminton",51,168.5,91.25,164.5,36.6,43.8,24.95,42,37.15,27.1,22.5,8.15,6.32,7.04,16.5,7.2,22.1,8.5,77.25,63.68,21.68,33.45,6.68,-2.32945520889293
"AC-076","Climb","ClimbF","No","Non-elite","Cn/f",23,"Female","White",NA,15,4,2,1.5,3.5,"Run, Yoga",63.5,178,93.25,176,40.05,46.9,26.7,45.15,36.75,30.8,22.3,14.4,6.82,7.48,17.9,7.8,22.8,9.4,84.75,69.63,24.48,37.85,7.15,0.590355927913062
"AX-061","Control","ControlF","Yes",NA,"X/f",26,"Female","White",NA,NA,NA,NA,2,2,"Gym, Swim, Run",60.1,160.5,86,158.5,34.4,41.35,24.35,40.5,35.6,26.7,22.7,28.8,6.43,6.73,15.8,7.2,21.2,8.2,74.5,61.45,20.95,33.15,6.58,-4.30647328446552
"AC-077","Climb","ClimbF","No","Non-elite","Cn/f",23,"Female","White",NA,17,16,9,7,16,"Ski, Cycle",58,163.75,89.25,173.25,35.65,43.05,24.8,43.95,39.35,29.5,24.95,13.05,7.15,7.23,18.4,7.9,23.3,8.6,74.5,66.95,23,31.45,7.19,-0.908079966583288
"AC-078","Climb","ClimbF","No","Non-elite","Cn/f",30,"Female","White",NA,18.5,4,3,1.5,4.5,"Gymnastics",53.6,159,85.25,161.75,35.2,41.3,25.15,41,36.15,28.5,23.45,12.85,6.05,6.37,15.5,7.1,21.7,7.9,73.75,62.8,21.8,32.45,6.21,-4.01917154026632
"AC-079","Climb","ClimbF","No","Non-elite","Cn/f",36,"Female","White",NA,19,6,10,30,40,"Stonework, Run, Gym, Dance",63.6,175.5,92,175.75,40.5,47.05,28.05,46.95,37.25,29.3,25.25,11.2,7.25,7.5,18.4,7.8,23.1,8.5,83.5,69.25,22.3,36.45,7.38,0.946117506645231
"AC-080","Climb","ClimbF","No","Non-elite","Cn/f",26,"Female","Mixed",NA,18.5,1.5,6,4,10,"Yoga, Gym",49.9,160,83.75,162.75,35.75,42.8,24.85,42.35,34.15,27.85,22.4,12.5,6.28,6.97,17.1,7.4,22.1,7.9,76.25,64.3,21.95,33.45,6.62,-3.5146896978359
"AC-081","Climb","ClimbF","No","Non-elite","Cn/f",25,"Female","White",NA,18.5,9,4,10,14,"Run, Cycle",56.4,162,89.25,157.5,34.35,41.7,24,41,35.25,28.15,22.35,9.75,6.15,6.65,16.2,6.9,21.7,7.9,72.75,61.13,20.13,31.05,6.4,-3.9046700084216
"AC-082","Climb","ClimbF","No","Non-elite","Cn/f",28,"Female","Asian",NA,18,7,8,10,18,"Walk, Run",65.1,169.5,91.25,163.25,35.9,43,25.05,42.7,37.45,29.7,24.9,13.2,6.83,7.01,17.7,7.8,24.2,9.2,78.25,62.9,20.2,35.25,6.92,-1.18536352439634
"AC-083","Climb","ClimbF","No","Non-elite","Cn/f",37,"Female","White",NA,13,10,2,1.5,3.5,"Run",63.1,166.25,87.5,168.5,36.6,43.85,26,44,35.7,30.25,24.6,20.3,7.16,7.14,17.8,7.9,22.8,9.2,78.75,66.4,22.4,34.9,7.15,-1.36339445356236
"AC-084","Climb","ClimbF","No","Non-elite","Cn/f",34,"Female","White",NA,17,15,2,8,10,"Run, Wakeboard, Ski, Skateboard",53.9,165,89.25,161,35.55,42.05,24.45,41.1,35.5,27.85,23.45,15.75,6.02,6.14,16,7.2,20.9,7.9,75.75,62.75,21.65,33.7,6.08,-3.83343230566698
