"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AR-013","Run","RunM","No","Non-elite","Rn/m",19,"Male","White",180,NA,1,1.5,6,7.5,"Gym, Basketball, Tennis, Squash, Netball",76.4,185,100,187.75,39.7,47,29,48.7,41.45,27.5,27.45,10.25,7.95,8.17,19.4,8.8,24.6,9.8,85,73.15,24.45,38,8.06,3.67274870270645
"AX-030","Control","ControlF","Yes",NA,"X/f",22,"Female","White",NA,NA,NA,NA,7,7,"Ballet, Tennis, Run, Climb",62.8,170.25,92.25,169,36.85,44.55,25.55,43.55,38.4,29.3,23.6,14.25,6.94,7.06,17.3,7.4,21.4,8.6,78,65.3,21.75,33.45,7,-1.21785675605279
"AX-031","Control","ControlM","Yes",NA,"X/m",26,"Male","White",NA,NA,NA,NA,3,3,"Football",80.9,184.5,98,190,40.6,49.55,29.85,49.95,40.9,30.75,25.65,9.6,7.3,7.3,18.8,7.8,24.4,9.9,86.5,74.55,24.6,36.95,7.3,3.46352998393177
"AX-032","Control","ControlM","Yes",NA,"X/m",26,"Male","White",NA,NA,NA,NA,5,5,"Gym, Cycle",73.7,185.5,100,176,39.55,48.4,28.35,47.1,37.7,28.55,27.2,14.85,6.92,7.06,18.1,8.2,22.5,9.9,85.5,69.15,22.05,37.1,6.99,1.37411189460036
"AX-033","Control","ControlF","Yes",NA,"X/f",20,"Female","White",NA,NA,NA,NA,5,5,"Run, Football, Climb",62.8,169.25,91.5,169.25,36.6,44.35,25.65,44.1,37,28.55,23.55,15.7,6.39,6.58,17,7.6,22.6,8.8,77.75,66.13,22.03,33.4,6.49,-1.7217082037953
"AX-034","Control","ControlM","Yes",NA,"X/m",21,"Male","Asian",NA,NA,NA,NA,5,5,"Boxing",62.7,175.25,90.75,173.25,38.55,47.4,27.05,46.55,39.7,28.5,26.5,3.9,7.16,7.34,18.6,8.5,23.3,9.4,84.5,66.78,20.23,37.1,7.25,0.50832316578642
"AC-012","Climb","ClimbM","No","Non-elite","Cn/m",19,"Male","Mixed",NA,15.5,6,4,4,8,"Gymnastics",59.1,178,91.25,177.25,40.25,47.55,28.75,47.4,40.5,25,24.9,5.05,7.04,7.19,18.5,8,23.5,8.8,86.75,68.38,20.98,39.2,7.12,0.987717286824176
"AX-035","Control","ControlF","Yes",NA,"X/f",24,"Female","White",NA,NA,NA,NA,2,2,"Dance",52,165,87.5,165.75,38,44.75,25.55,42.35,35.6,29.75,21.15,13.45,5.93,5.93,15,6.6,22,8,77.5,65.08,22.73,32.75,5.93,-3.20740081565514
"AX-036","Control","ControlF","Yes",NA,"X/f",24,"Female","Other",NA,NA,NA,NA,3,3,"Cycle, Pilates",61.5,163,86.75,163.75,35.75,43.1,25.6,43.2,35.5,27.75,23.8,20.7,7.1,7.52,17.3,7.4,23.3,8.8,76.25,64.13,20.93,33.15,7.31,-2.14027283920243
"AR-014","Run","RunM","No","Non-elite","Rn/m",21,"Male","White",511,NA,12,5,3,8,"Tennis, Squash",71.9,182,94,180.5,41.55,49.45,29.8,48.95,40.3,27,27,9.8,7.5,8.06,18.9,8.4,23.1,9.8,88,70.1,21.15,38.55,7.78,2.47383354551333
