"proportion_id","focal","control","sex","dataset","sport1","sport2","comparison","p_same_sign","p_tradeoff","sport1_mean","sport2_mean"
"ForearmC","ForearmC","absolute","M","m1","climb","run","climb_vs_run",0.0635625,0.9364375,0.218377665353195,-0.518567447830187
"ForearmC.ForearmL","ForearmC","ForearmL","F","m1","climb","run","climb_vs_run",0.10175,0.89825,0.194250226331079,-0.338683688759437
"ForearmC.ForearmL","ForearmC","ForearmL","M","m1","climb","run","climb_vs_run",0.0648125,0.9351875,0.216417016292351,-0.517927071746
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","F","m1","climb","run","climb_vs_run",0.4121875,0.5878125,0.0317086079718124,-0.313453472145744
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","M","m1","climb","run","climb_vs_run",0.11775,0.88225,0.162175561999393,-0.538982427705562
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","F","m1","climb","run","climb_vs_run",0.428375,0.571625,0.0243403315823344,-0.319024756997444
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","M","m1","climb","run","climb_vs_run",0.1256875,0.8743125,0.158741525956223,-0.544499414318563
"Hrs_Sport","Hrs_Sport","absolute","F","m1","climb","run","climb_vs_run",0.999875,0.000125000000000042,0.434002682092175,0.7782781945475
"Hrs_Sport","Hrs_Sport","absolute","M","m1","climb","run","climb_vs_run",0.9990625,0.000937500000000036,0.343653168816475,0.61501756961
"Exp_yrs","Exp_yrs","absolute","F","m1","climb","run","climb_vs_run",0.9565,0.0435,0.583912580961221,0.219620974601945
"Exp_yrs","Exp_yrs","absolute","M","m1","climb","run","climb_vs_run",0.338,0.662,0.211069879214598,-0.0636605311622024
"PC1","PC1","absolute","F","m2","climb","run","climb_vs_run",0.6478125,0.3521875,0.0419101116060586,0.0334377272674403
"PC1","PC1","absolute","F","m2","climb","walk","climb_vs_walk",0.632375,0.367625,0.0419101116060586,0.263224320987997
"PC1","PC1","absolute","F","m2","climb","sprint","climb_vs_sprint",0.627875,0.372125,0.0419101116060586,0.260814198885924
"PC1","PC1","absolute","M","m2","climb","run","climb_vs_run",0.7788125,0.2211875,-0.168505131750997,-0.194816932865564
"PC1","PC1","absolute","M","m2","climb","walk","climb_vs_walk",0.7048125,0.2951875,-0.168505131750997,-0.104721288746391
"PC1","PC1","absolute","M","m2","climb","sprint","climb_vs_sprint",0.5578125,0.4421875,-0.168505131750997,0.0350030696212501
"Stature","Stature","absolute","F","m2","climb","run","climb_vs_run",0.6494375,0.3505625,0.00864504182923207,0.0209726659127739
"Stature","Stature","absolute","F","m2","climb","walk","climb_vs_walk",0.60775,0.39225,0.00864504182923207,0.207086178610496
"Stature","Stature","absolute","F","m2","climb","sprint","climb_vs_sprint",0.6265,0.3735,0.00864504182923207,0.130066315931913
"Stature","Stature","absolute","M","m2","climb","run","climb_vs_run",0.92275,0.07725,-0.4593257996535,-0.395541070443093
"Stature","Stature","absolute","M","m2","climb","walk","climb_vs_walk",0.861375,0.138625,-0.4593257996535,-0.295754106746396
"Stature","Stature","absolute","M","m2","climb","sprint","climb_vs_sprint",0.7643125,0.2356875,-0.4593257996535,-0.15805591519542
"SitHeight","SitHeight","absolute","F","m2","climb","run","climb_vs_run",0.659375,0.340625,-0.061634901642365,-0.0689533652178316
"SitHeight","SitHeight","absolute","F","m2","climb","walk","climb_vs_walk",0.5326875,0.4673125,-0.061634901642365,0.188899083592248
"SitHeight","SitHeight","absolute","F","m2","climb","sprint","climb_vs_sprint",0.608,0.392,-0.061634901642365,0.0521576437698652
"SitHeight","SitHeight","absolute","M","m2","climb","run","climb_vs_run",0.9945,0.00549999999999995,-0.672565350559539,-0.713944160055829
"SitHeight","SitHeight","absolute","M","m2","climb","walk","climb_vs_walk",0.9824375,0.0175625,-0.672565350559539,-0.613471548986895
"SitHeight","SitHeight","absolute","M","m2","climb","sprint","climb_vs_sprint",0.7658125,0.2341875,-0.672565350559539,-0.164883902644578
"SitHeight.Stature","SitHeight","Stature","F","m2","climb","run","climb_vs_run",0.6945,0.3055,-0.063551746656724,-0.0772373905438747
"SitHeight.Stature","SitHeight","Stature","F","m2","climb","walk","climb_vs_walk",0.61075,0.38925,-0.063551746656724,0.0157206674797608
"SitHeight.Stature","SitHeight","Stature","F","m2","climb","sprint","climb_vs_sprint",0.66225,0.33775,-0.063551746656724,-0.0309733770017198
"SitHeight.Stature","SitHeight","Stature","M","m2","climb","run","climb_vs_run",0.880375,0.119625,-0.189045686619938,-0.264323015391239
"SitHeight.Stature","SitHeight","Stature","M","m2","climb","walk","climb_vs_walk",0.863375,0.136625,-0.189045686619938,-0.251134897612543
"SitHeight.Stature","SitHeight","Stature","M","m2","climb","sprint","climb_vs_sprint",0.64525,0.35475,-0.189045686619938,-0.038331578624019
"ArmSpan","ArmSpan","absolute","F","m2","climb","run","climb_vs_run",0.7134375,0.2865625,0.144159346598364,0.122741019352492
"ArmSpan","ArmSpan","absolute","F","m2","climb","walk","climb_vs_walk",0.7430625,0.2569375,0.144159346598364,0.257198632596182
"ArmSpan","ArmSpan","absolute","F","m2","climb","sprint","climb_vs_sprint",0.74575,0.25425,0.144159346598364,0.260855114802836
"ArmSpan","ArmSpan","absolute","M","m2","climb","run","climb_vs_run",0.6259375,0.3740625,0.0318595710676341,-0.0549321025832714
"ArmSpan","ArmSpan","absolute","M","m2","climb","walk","climb_vs_walk",0.6276875,0.3723125,0.0318595710676341,-0.022766653193041
"ArmSpan","ArmSpan","absolute","M","m2","climb","sprint","climb_vs_sprint",0.666125,0.333875,0.0318595710676341,0.104133032691477
"ArmSpan.Stature","ArmSpan","Stature","F","m2","climb","run","climb_vs_run",0.8381875,0.1618125,0.182925715715308,0.145993579129743
"ArmSpan.Stature","ArmSpan","Stature","F","m2","climb","walk","climb_vs_walk",0.781125,0.218875,0.182925715715308,0.103545095083671
"ArmSpan.Stature","ArmSpan","Stature","F","m2","climb","sprint","climb_vs_sprint",0.83025,0.16975,0.182925715715308,0.135985801701391
"ArmSpan.Stature","ArmSpan","Stature","M","m2","climb","run","climb_vs_run",0.97225,0.0277500000000001,0.592814605604591,0.306718065005943
"ArmSpan.Stature","ArmSpan","Stature","M","m2","climb","walk","climb_vs_walk",0.8943125,0.1056875,0.592814605604591,0.233133078362059
"ArmSpan.Stature","ArmSpan","Stature","M","m2","climb","sprint","climb_vs_sprint",0.9761875,0.0238125,0.592814605604591,0.345545456011595
"Leg","Leg","absolute","F","m2","climb","run","climb_vs_run",0.66125,0.33875,0.0464674839219526,0.0646533673071861
"Leg","Leg","absolute","F","m2","climb","walk","climb_vs_walk",0.6694375,0.3305625,0.0464674839219526,0.126713579870108
"Leg","Leg","absolute","F","m2","climb","sprint","climb_vs_sprint",0.663875,0.336125,0.0464674839219526,0.126355505000433
"Leg","Leg","absolute","M","m2","climb","run","climb_vs_run",0.687875,0.312125,-0.119904308949445,-0.0628146874795976
"Leg","Leg","absolute","M","m2","climb","walk","climb_vs_walk",0.64325,0.35675,-0.119904308949445,-0.0212102054008737
"Leg","Leg","absolute","M","m2","climb","sprint","climb_vs_sprint",0.6498125,0.3501875,-0.119904308949445,-0.0254406770385598
"Leg.Stature","Leg","Stature","F","m2","climb","run","climb_vs_run",0.70675,0.29325,0.0528559932918694,0.0637408025757434
"Leg.Stature","Leg","Stature","F","m2","climb","walk","climb_vs_walk",0.6159375,0.3840625,0.0528559932918694,-0.0107535096925211
"Leg.Stature","Leg","Stature","F","m2","climb","sprint","climb_vs_sprint",0.657375,0.342625,0.0528559932918694,0.0250391639586232
"Leg.Stature","Leg","Stature","M","m2","climb","run","climb_vs_run",0.8820625,0.1179375,0.170662188403036,0.238955421230812
"Leg.Stature","Leg","Stature","M","m2","climb","walk","climb_vs_walk",0.8655,0.1345,0.170662188403036,0.225482944595364
"Leg.Stature","Leg","Stature","M","m2","climb","sprint","climb_vs_sprint",0.6411875,0.3588125,0.170662188403036,0.03362014864788
"Femur","Femur","absolute","F","m2","climb","run","climb_vs_run",0.6753125,0.3246875,0.0691164550479112,0.152564374851629
"Femur","Femur","absolute","F","m2","climb","walk","climb_vs_walk",0.6728125,0.3271875,0.0691164550479112,0.181158047518916
"Femur","Femur","absolute","F","m2","climb","sprint","climb_vs_sprint",0.6638125,0.3361875,0.0691164550479112,0.0694234161269437
"Femur","Femur","absolute","M","m2","climb","run","climb_vs_run",0.64325,0.35675,-0.0779734828676697,0.00159753965331449
"Femur","Femur","absolute","M","m2","climb","walk","climb_vs_walk",0.584625,0.415375,-0.0779734828676697,0.0604339326038311
