"Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"m1_Finger.HandLength___RunF","m1_Finger.HandLength","b",1,NA,NA,"single",-0.00549178199039868,0.183275927904821,-0.3005094101,0.286621856,-0.3644957265,0.35464321975,0.488625,16000
"m1_Finger.HandLength.Eth___RunF","m1_Finger.HandLength.Eth","b",1,NA,NA,"single",0.000108509931870539,0.179708440871943,-0.2904633049,0.28769494345,-0.352271465,0.3521248005,0.502,16000
"m1_Finger___ClimbF","m1_Finger","b",3,NA,NA,"single",-0.0475273198123409,0.162145281900813,-0.3055234385,0.2146849478,-0.36342536525,0.27078612575,0.3849375,16000
"m1_Finger.Eth___ClimbF","m1_Finger.Eth","b",3,NA,NA,"single",-0.00910001887605669,0.160888073989696,-0.2681549729,0.2489673768,-0.32605764525,0.310366117,0.476125,16000
"m1_Finger.Stature___ClimbF","m1_Finger.Stature","b",3,NA,NA,"single",0.00557518292644912,0.168719440822324,-0.26339390175,0.2741231197,-0.32628692375,0.33879281775,0.5136875,16000
"m1_Finger.Stature.Eth___ClimbF","m1_Finger.Stature.Eth","b",3,NA,NA,"single",0.0562732457329329,0.166569258341392,-0.21086882035,0.3240765404,-0.2688304925,0.38148795525,0.6338125,16000
"m1_Finger.HandLength___ClimbF","m1_Finger.HandLength","b",3,NA,NA,"single",0.00611503414860679,0.207580066144434,-0.32040656945,0.3378255131,-0.394943782,0.41112132425,0.5061875,16000
"m1_Finger.HandLength.Eth___ClimbF","m1_Finger.HandLength.Eth","b",3,NA,NA,"single",0.0105352138933805,0.202677821115938,-0.31102918405,0.3404758848,-0.3804745755,0.41410153575,0.515625,16000
"m1_Finger___RunM.RunF","m1_Finger","b",2,"b",1,"difference",0.0421269260763469,0.203322410469832,-0.27981550905,0.36847451393,-0.35332333725,0.43903534945,0.5801875,16000
"m1_Finger.Eth___RunM.RunF","m1_Finger.Eth","b",2,"b",1,"difference",-0.0391167686797844,0.204994535913345,-0.365766898005,0.29137808501,-0.43939131775,0.370033548225,0.419,16000
"m1_Finger.Stature___RunM.RunF","m1_Finger.Stature","b",2,"b",1,"difference",0.0571912865625507,0.204899391251992,-0.267050446705,0.38216943405,-0.340060704575,0.45850337797,0.612125,16000
"m1_Finger.Stature.Eth___RunM.RunF","m1_Finger.Stature.Eth","b",2,"b",1,"difference",-0.0233756746881357,0.201616131682422,-0.339406331541,0.300804435285,-0.420126825325,0.3769175049,0.448,16000
"m1_Finger.HandLength___RunM.RunF","m1_Finger.HandLength","b",2,"b",1,"difference",0.0428487556366949,0.209730697112983,-0.29406840653,0.381850217295,-0.367622568475,0.460987808325,0.5823125,16000
"m1_Finger.HandLength.Eth___RunM.RunF","m1_Finger.HandLength.Eth","b",2,"b",1,"difference",-0.0342699892730741,0.20413391160664,-0.36035332117,0.2923170563975,-0.4306229578,0.365763793125,0.4293125,16000
