Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171389",Cro-magnon 4347,France,,,1698.38567
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171390",Cro-magnon 4348,France,,,1699.74497
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171391",Paviland 1,England,M,73.9516,1765
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171392",Rochette 1,France,,66.694,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171393",Abri Pataud 1,France,F,69.7010687,1622
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171394",Mladeč 21,Czech Republic,F,65.56,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171395",Mladeč 22,Czech Republic,,78.4876,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171396",Mladeč 24,Czech Republic,,,1916
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171397",Mladeč 27,Czech Republic,,,1769
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171398",Mladeč 30,Czech Republic,,91.29677946,1733.4895
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171399",Spy 2,Belgium,M,82.57,1586
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171400",Spy 25B,Belgium,,,1612.08215
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171401",Spy 25C,Belgium,,,1578.7241
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171402",Spy 25D,Belgium,,,1602.9845
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171403",Neandertal 1 (Feldhofer),Germany,M,81.436,1656
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171405",Tianyuan 1,China,,71.425268,1718.741317
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171406",La Quina H1,France,,72.67619288,1688.27887
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171407",La Quina H5,France,F,,1610
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171408",Moros de la Gabasa (Gal. Rev.439),Spain,F,,1579.3566
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171409",Sima de las Palomas 77,Spain,,66.9208,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171410",Sima de las Palomas 92,Spain,,63.7456,1526
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171411",Sima de las Palomas 96,Spain,F,61.024,1492
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171412",La Ferrassie 1,France,M,90.508,1716
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171413",La Ferrassie 2,France,F,67.828,1487
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171414",Shanidar 1,Iraq,M,67.8440897,1672
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171415",Shanidar 2,Iraq,M,,1548
