Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Hominin,Homo,H. habilis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171567",OH 48,Olduvai Gorge,,65,1617.3
Hominin,Homo,H. habilis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171568",OH 49,Olduvai Gorge,,58,1567.3
Hominin,Homo,H. habilis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171569",OH 53,Olduvai Gorge,,53,1434
Hominin,Homo,H. habilis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171570",OH 62,Olduvai Gorge,,38,1483.7
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171571",KNM-ER 815,Koobi Fora,,40.86465105,
Hominin,Homo,H. erectus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171572",D2600 (D4167),Dmanisi,,53,1466.9
Hominin,Homo,H. erectus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171573",D4111/D3442,Dmanisi,,46,1526.5
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171574",OH 20,Olduvai Gorge,,51.58310432,
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171575",KNM-ER 813,Koobi Fora,,50,1479.2
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171576",SK 3121,Swartkrans,,23.99142457,
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171577",SK 3155B,Swartkrans,,29.1,1100
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171578",SK 14024,Swartkrans,,27.6,
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171579",SK 50,Swartkrans,,42.6,
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171580",SK 82,Swartkrans,,30.82694183,1260
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171581",SK 97,Swartkrans,,35.31189495,1370
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171582",SKW 19,Swartkrans,,26,
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171583",SWT1/LB-2,Swartkrans,,30.90576719,
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171584",KNM-ER 1476a,Koobi Fora,,34.65137967,1613
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171585",KNM-ER 738,Koobi Fora,,29.4220352,1250
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171586",KNM-ER 1500d,Koobi Fora,,28.43943782,1160
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171587",KNM-ER 1503,Koobi Fora,,30.541864,1310
Hominin,Paranthropus,P. boisei?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171588",KNM-ER 1505,Koobi Fora,,32.4,
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171589",KNM-ER 3228,Koobi Fora,,66,1680.6
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171590",KNM-ER 3728,Koobi Fora,,64,1512
Hominin,Homo,H. habilis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171591",KNM-ER 3735,Koobi Fora,,39,1496.2
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171592",KNM-ER 5881,Koobi Fora,,52,1525.7
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171593",KNM-ER 5882,Koobi Fora,,54,1537.8
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171594",KNM-ER 1481,Koobi Fora,,61,1524.7
Hominin,Australopithecus,Au. sediba,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171596",MH2,Malapa (South Africa),,29.12008609,
Hominin,Australopithecus,Au. sediba,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171597",MH4,Malapa (South Africa),,22.74049205,
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171598",KNM-ER 1472,Koobi Fora,,53,1537.3
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171599",KNM-ER 1473,Koobi Fora,,68,1629.1
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171600",KNM-ER 1475,Koobi Fora,,59,1567.4
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171601",Stw 598,Sterkfontein,,28.8,
Hominin,Homo,Undefined,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171602",Omo 323-76-898,Omo,,54,1530.5
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171603",Sts 14,Sterkfontein,,22.76804452,1100
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171604",Sts 34,Sterkfontein,,38.6,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171605",Stw 102,Sterkfontein,,31.4,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171606",StW 121,Sterkfontein,,43.32780186,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171607",Stw 25,Sterkfontein,,29.1,1200
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171608",Stw 300,Sterkfontein,,30.2,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171609",Stw 31,Sterkfontein,,26.3,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171610",Stw 311,Sterkfontein,,33.9,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171611",Stw 358,Sterkfontein,,23.7,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171612",Stw 361,Sterkfontein,,24.6,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171613",Stw 392,Sterkfontein,,28.4661731,1160
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171614",Stw 403,Sterkfontein,,27.3,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171615",Stw 431,Sterkfontein,,34.5,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171616",Stw 443,Sterkfontein,,34.3,1340
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171617",Stw 479,Sterkfontein,,27.1,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171618",Stw 501,Sterkfontein,,29.9,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171619",Stw 522,Sterkfontein,,26.26472608,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171620",Stw 527,Sterkfontein,,29.9,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171621",TM 1513,Kroomdrai,,32.9,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171622",Stw 99,Sterkfontein,,36.34493578,1420
Hominin,Australopithecus,Au. garhi,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171623",BOU-VP-12/1,Bouri (Ethiopia),,36,
Hominin,Paranthropus,P. aethiopicus?,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171624",EP1000/98,Laetol (Tanzania),,31.70785634,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171625",MLD 17,Makapansgat,,36.8,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171626",MLD 25,Makapansgat,,33.9,
Hominin,Australopithecus,Au. africanus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171627",MLD 46,Makapansgat,,35.17061696,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171628",AL 827-1,Afar (Ethopia),,38.18338952,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171629",AL 288-1,Afar (Ethopia),,25.97209698,1050
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171630",AL 330-6,Afar (Ethopia),,40.6540466,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171631",AL 333-131,Afar (Ethopia),,63.57661127,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171632",AL 333-142,Afar (Ethopia),,35.16002063,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171633",AL 333-3,Afar (Ethopia),,38.54385883,1510
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171634",AL 333-4,Afar (Ethopia),,41.5,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171635",AL 333-6,Afar (Ethopia),,33.7,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171636",AL 333-7,Afar (Ethopia),,42.7,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171637",AL 333-95,Afar (Ethopia),,49.70850699,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171638",AL 333w-40,Afar (Ethopia),,55.15661201,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171639",AL 333w-43,Afar (Ethopia),,24.4826691,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171640",AL 333x-26,Afar (Ethopia),,39.53535927,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171641",AL 128-1,Afar (Ethopia),,39.1,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171642",AL 129-1,Afar (Ethopia),,28.5,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171643",AL 211-1,Afar (Ethopia),,52.78170363,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171644",AL 152-2,Afar (Ethopia),,28.59589824,
Hominin,Australopithecus,Au. afarensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171645",KSD-VP-1/1,Afar (Ethopia),,40.9,
Hominin,Australopithecus,Au. anamensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171646",KNM-KP 29285,Kanapoi (Kenya),,46.30825104,
Hominin,Ardipithecus,Ar. ramidus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171647",ARA-VP-6/500,Aramis (Ethiopia),,32.1,1210
Hominin,Paranthropus,P. robustus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171649",TM 1605,Kroomdrai,,39,
